"Story","Title","Result","Date","Stability","Duration (s)"
"Vendor invoice test","Verify add direct type vendor invoice","SUCCESS","2017-07-07T12:14:35.918+05:00","0.0","63.37"
"Manage deduction test","Verify add fixed amount calculation deduction","SUCCESS","2017-07-07T11:58:55.883+05:00","0.0","136.43"
"Deduction assignment test","Verify add fixed amount deduction","SUCCESS","2017-07-07T11:50:57.149+05:00","0.0","121.5"
"Manage employee test","Verify add new employee","SUCCESS","2017-07-07T11:44:22.729+05:00","0.0","157.36"
"Manage deduction test","Verify add system deduction","SUCCESS","2017-07-07T11:57:56.712+05:00","0.0","58.7"
"Vendor invoice test","Verify edit direct type vendor invoice","SUCCESS","2017-07-07T12:15:39.672+05:00","0.0","78.84"
"Deduction assignment test","Verify edit fixed amount deduction","SUCCESS","2017-07-07T11:48:46.401+05:00","0.0","130.43"
"Apta login test","Verify login into site","SUCCESS","2017-07-07T11:33:32.364+05:00","0.0","42.81"
"Apta login test","Verify login page is appearing","SUCCESS","2017-07-07T11:34:40.185+05:00","0.0","12.71"
"Apta login test","Verify logout","SUCCESS","2017-07-07T11:34:15.507+05:00","0.0","24.33"
"Manage payroll test","Verify navigate to deduction assignment","SUCCESS","2017-07-07T12:08:39.969+05:00","0.0","35.18"
"Manage payroll test","Verify navigate to manage deductions","SUCCESS","2017-07-07T12:09:15.377+05:00","0.0","36.65"
"Manage employee test","Verify navigate to manage employee","SUCCESS","2017-07-07T11:43:39.252+05:00","0.0","43.12"
"Payroll home test","Verify navigate to payroll","SUCCESS","2017-07-07T12:14:00.768+05:00","0.0","34.81"
