"Story","Title","Result","Date","Stability","Duration (s)"
"Deduction assignment test","Add non variable deduction for percentage","SUCCESS","2017-06-16T09:04:39.892+05:00","0.0","91.94"
"Deduction assignment test","Delete non variable deduction for percentage","SUCCESS","2017-06-16T09:06:12.105+05:00","0.0","102.47"
"Vendor invoice test","Verify add direct type vendor invoice","SUCCESS","2017-06-16T09:28:36.085+05:00","0.0","64.27"
"Employee jobs test","Verify add employee hourly job","SUCCESS","2017-06-16T08:53:31.052+05:00","0.0","92.07"
"Manage deduction test","Verify add fixed amount calculation deduction","SUCCESS","2017-06-16T09:10:38.656+05:00","0.0","131.1"
"Deduction assignment test","Verify add fixed amount deduction","SUCCESS","2017-06-16T09:02:37.924+05:00","0.0","121.61"
"Manage deduction test","Verify add system deduction","SUCCESS","2017-06-16T09:09:44.256+05:00","0.0","54.15"
"Deduction assignment test","Verify edit fixed amount deduction","SUCCESS","2017-06-16T09:00:26.770+05:00","0.0","130.87"
"Manage payroll test","Verify navigate to deduction assignment","SUCCESS","2017-06-16T09:19:00.936+05:00","0.0","33.0"
"Manage payroll test","Verify navigate to manage deductions","SUCCESS","2017-06-16T09:19:34.186+05:00","0.0","34.41"
"Payroll home test","Verify navigate to payroll","SUCCESS","2017-06-16T09:28:01.940+05:00","0.0","33.87"
"Manage payroll test","Verify remove job to register","SUCCESS","2017-06-16T09:20:08.820+05:00","0.0","180.74"
"Manage payroll test","Void register","SUCCESS","2017-06-16T09:23:09.862+05:00","0.0","291.78"
