"Story","Title","Result","Date","Stability","Duration (s)"
"Vendor invoice test","Verify add direct type vendor invoice","SUCCESS","2017-06-16T09:28:36.085+05:00","0.0","64.27"
"Manage deduction test","Verify add fixed amount calculation deduction","SUCCESS","2017-06-16T09:10:38.656+05:00","0.0","131.1"
"Deduction assignment test","Verify add fixed amount deduction","SUCCESS","2017-06-16T09:02:37.924+05:00","0.0","121.61"
"Manage payroll test","Verify add job to register","ERROR","2017-06-16T09:16:40.636+05:00","0.0","140.05"
"Manage employee test","Verify add new employee","ERROR","2017-06-16T08:58:01.255+05:00","0.0","45.29"
"Manage deduction test","Verify add percentage calculation deduction","ERROR","2017-06-16T09:15:10.334+05:00","0.0","89.99"
"Manage deduction test","Verify add system deduction","SUCCESS","2017-06-16T09:09:44.256+05:00","0.0","54.15"
"Vendor invoice test","Verify edit direct type vendor invoice","FAILURE","2017-06-16T09:29:40.639+05:00","0.0","91.04"
"Deduction assignment test","Verify edit fixed amount deduction","SUCCESS","2017-06-16T09:00:26.770+05:00","0.0","130.87"
"Manage payroll test","Verify navigate to deduction assignment","SUCCESS","2017-06-16T09:19:00.936+05:00","0.0","33.0"
"Manage payroll test","Verify navigate to manage deductions","SUCCESS","2017-06-16T09:19:34.186+05:00","0.0","34.41"
"Manage payroll test","Verify navigate to manage payroll","IGNORED","2017-06-16T09:20:08.601+05:00","0.0","0.0"
"Payroll home test","Verify navigate to payroll","SUCCESS","2017-06-16T09:28:01.940+05:00","0.0","33.87"
"Manage payroll test","Verify remove job to register","SUCCESS","2017-06-16T09:20:08.820+05:00","0.0","180.74"
"Manage payroll test","Verify submit and print special payroll register","IGNORED","2017-06-16T09:23:09.557+05:00","0.0","0.0"
"Manage payroll test","Void register","SUCCESS","2017-06-16T09:23:09.862+05:00","0.0","291.78"
